type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,sig_mode,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-36,11,1,7,0,1,1,0,0,0,0,-97,0,11,0,27584923,0,86,1,256,1,"[86,-32,4,0,-6,-13,-6,-13,-5,-13,-6,-13,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-7,-12,-7,-11,-7,-11,-7,-11,-7,-11,-7,-11,-7,-11,-7,-11,-6,-11,-6,-11,-5,-11,-5,-11,-4,-10,-4,-10,-3,-10,-3,-10,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-3,-9,-3,-9,-3,-10,-3,-10,-3,-10,-2,-11,-2,-11,-2,-11,-1,-12,-1,-12,-1,-12,-1,-12,-1,-12,-2,-12,-2,-12,-2,-12,-2,-12,-2,-12,-3,-12,-3,-12,-4,-12,-4,-13,-4,-13,-4,-13,-5,-14,-4,-14,-4,-17,-12,-53,-11,-52,-11,-51,-11,-50,-12,-49,-13,-48,-13,-47,-14,-47,-15,-45,-17,-45,-18,-45,-19,-44,-20,-44,-20,-44,-19,-43,-19,-43,-18,-43,-17,-43,-15,-43,-13,-42,-12,-42,-11,-41,-9,-40,-8,-39,-6,-38,-4,-37,6,-36,8,-35,1,-7,0,-2,-1,0,-1,0,-1,0,-1,-2,-2,-6,-8,-32,-7,-32,-8,-33,-7,-35,-5,-36,-4,-38,-3,-39,-2,-40,0,-41,0,-42,1,-43,1,-43,1,-44,2,-45,2,-45,2,-45,2,-45,1,-45,0,-45,-1,-45,-2,-45,-3,-46,-4,-47,-6,-48,-7,-48,-9,-50,-10,-51,-10,-51]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-40,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,27645836,0,86,1,256,1,"[86,-32,4,0,-24,-11,-23,-11,-23,-10,-23,-9,-23,-9,-23,-8,-23,-7,-22,-7,-22,-6,-22,-6,-23,-6,-23,-5,-23,-5,-23,-5,-23,-5,-23,-5,-22,-6,-22,-6,-21,-6,-20,-7,-20,-7,-19,-8,-18,-9,-17,-9,-16,-9,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-15,-7,-15,-8,-15,-9,-16,-10,-16,-10,-16,-11,-16,-11,-16,-11,-16,-12,-16,-13,-16,-14,-17,-14,-17,-15,-17,-14,-17,-14,-18,-13,-18,-13,-18,-12,-19,-12,-20,-12,-21,-11,-21,-11,-21,-11,-22,-11,-23,-11,-23,-11,-13,-8,-43,-24,-42,-25,-42,-24,-41,-23,-40,-22,-40,-21,-40,-20,-40,-19,-40,-17,-40,-16,-41,-14,-42,-13,-43,-13,-42,-13,-42,-13,-42,-14,-41,-15,-41,-15,-40,-16,-38,-17,-37,-18,-35,-18,-33,-18,-32,-18,-30,-19,-28,-19,-24,-24,-22,-25,-4,-5,-1,-2,0,0,0,0,0,0,-2,-1,-5,-3,-26,-14,-26,-15,-27,-15,-27,-17,-27,-19,-27,-21,-28,-23,-28,-24,-28,-26,-28,-27,-28,-27,-28,-28,-29,-28,-29,-29,-29,-29,-29,-29,-30,-29,-30,-28,-31,-28,-31,-27,-32,-27,-33,-26,-34,-26,-36,-25,-37,-24,-39,-24,-41,-24,-42,-24]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-35,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,27718809,0,86,1,256,1,"[86,-32,4,0,10,-10,10,-10,10,-10,10,-10,9,-10,9,-10,9,-10,8,-10,8,-11,8,-11,8,-11,8,-11,7,-11,7,-11,8,-11,8,-11,8,-11,8,-10,8,-10,8,-9,8,-8,8,-8,8,-7,8,-7,8,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,6,-7,7,-7,7,-7,8,-7,8,-7,9,-7,9,-7,10,-7,10,-6,10,-6,11,-6,11,-6,11,-6,10,-6,11,-6,11,-7,10,-7,10,-7,10,-8,10,-8,10,-8,10,-9,10,-9,10,-9,11,-10,12,-10,14,-10,47,-31,46,-31,46,-31,45,-31,43,-31,42,-31,41,-31,40,-31,39,-32,37,-34,36,-35,35,-36,35,-37,35,-37,35,-37,35,-36,36,-35,37,-33,38,-32,38,-29,37,-27,36,-25,36,-24,35,-22,35,-20,34,-18,38,-8,38,-6,6,-1,1,-1,-1,0,-1,0,-1,0,1,-2,4,-5,27,-21,28,-20,27,-22,30,-21,31,-21,33,-20,35,-19,37,-18,39,-17,41,-17,41,-16,42,-16,43,-17,44,-17,44,-17,44,-17,44,-17,44,-18,43,-18,42,-20,43,-22,43,-23,43,-25,44,-26,44,-27,44,-28,45,-30,46,-30]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-35,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,27785248,0,86,1,256,1,"[86,-32,4,0,5,-14,5,-14,5,-14,5,-13,5,-13,4,-14,4,-13,4,-13,3,-13,3,-14,2,-14,2,-14,2,-14,3,-14,3,-14,3,-13,3,-13,4,-13,4,-13,4,-12,4,-11,4,-11,5,-10,5,-10,5,-10,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-9,3,-10,3,-10,4,-10,4,-10,5,-10,5,-10,6,-10,6,-10,6,-10,7,-11,7,-11,7,-11,7,-11,7,-11,7,-11,7,-11,6,-11,6,-12,6,-12,6,-12,6,-13,6,-13,5,-13,6,-14,6,-15,7,-16,25,-52,25,-51,24,-51,24,-50,23,-50,21,-50,20,-50,19,-49,18,-49,16,-49,14,-50,13,-51,13,-51,13,-51,13,-50,14,-50,15,-49,16,-48,17,-47,19,-45,19,-43,19,-41,20,-39,20,-38,21,-35,22,-33,26,-29,28,-27,5,-5,1,-2,-1,0,-1,0,-1,0,0,-2,1,-7,9,-34,10,-33,12,-34,14,-34,17,-35,19,-36,21,-36,23,-36,25,-36,27,-36,27,-36,28,-37,29,-38,29,-38,29,-38,30,-39,30,-39,29,-39,28,-39,27,-40,27,-41,26,-42,26,-44,26,-46,25,-47,24,-48,24,-50,25,-50]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-36,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,27854162,0,86,1,256,1,"[86,-32,4,0,8,-23,7,-24,7,-23,7,-23,6,-22,6,-22,5,-22,4,-22,4,-22,3,-22,2,-22,2,-23,2,-23,2,-23,3,-23,3,-23,4,-23,4,-22,5,-21,5,-20,5,-19,5,-18,6,-18,7,-17,7,-17,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,5,-15,5,-15,6,-16,6,-16,7,-16,9,-17,10,-17,10,-17,11,-17,11,-17,12,-18,12,-18,11,-18,11,-18,11,-18,11,-18,10,-18,10,-19,9,-19,9,-20,8,-20,8,-21,8,-21,8,-22,9,-23,9,-24,5,-14,18,-44,18,-44,18,-44,17,-44,17,-43,16,-43,15,-42,14,-42,12,-41,11,-41,9,-42,8,-43,7,-43,8,-43,8,-43,9,-42,9,-41,10,-41,12,-40,13,-39,13,-37,13,-36,14,-34,15,-33,15,-31,16,-30,20,-26,21,-24,3,-5,1,-2,-1,0,-1,0,-1,0,0,-2,1,-6,6,-28,8,-28,11,-28,13,-29,14,-29,16,-30,17,-30,19,-30,21,-30,22,-30,23,-30,23,-30,24,-32,24,-32,24,-32,24,-33,24,-33,24,-33,23,-33,22,-34,21,-35,21,-37,20,-38,20,-39,19,-40,18,-42,18,-43,18,-44]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-36,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,27923689,0,86,1,256,1,"[86,-32,4,0,-23,-12,-23,-12,-23,-11,-22,-11,-23,-10,-23,-10,-22,-9,-22,-8,-21,-7,-22,-7,-23,-7,-23,-6,-23,-6,-22,-6,-22,-6,-22,-7,-22,-7,-21,-8,-20,-8,-19,-8,-19,-9,-18,-9,-17,-9,-16,-10,-15,-10,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-15,-7,-15,-8,-15,-9,-16,-10,-16,-11,-16,-11,-16,-12,-16,-13,-16,-13,-16,-14,-16,-14,-16,-15,-17,-15,-17,-15,-17,-15,-17,-14,-17,-13,-17,-13,-18,-13,-19,-13,-20,-13,-20,-12,-20,-12,-21,-12,-22,-12,-23,-12,-12,-10,-39,-29,-39,-29,-38,-28,-37,-28,-37,-27,-37,-26,-37,-25,-37,-23,-37,-22,-38,-20,-39,-19,-40,-18,-40,-18,-40,-18,-39,-18,-39,-18,-39,-19,-38,-20,-37,-21,-35,-21,-33,-22,-31,-22,-30,-22,-28,-22,-26,-22,-24,-23,-18,-28,-16,-28,-3,-5,-1,-2,0,0,0,0,0,0,-2,-1,-5,-3,-24,-16,-24,-18,-25,-17,-25,-19,-25,-21,-25,-23,-25,-25,-26,-26,-26,-28,-25,-29,-26,-30,-26,-30,-26,-31,-26,-31,-26,-31,-26,-32,-27,-32,-28,-31,-28,-31,-28,-30,-29,-30,-30,-29,-31,-29,-32,-28,-34,-28,-36,-28,-38,-28,-38,-28]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-35,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,27990678,0,86,1,256,1,"[86,-32,4,0,8,-11,8,-11,8,-11,7,-10,7,-10,7,-10,7,-10,6,-11,6,-11,5,-11,5,-11,5,-11,5,-11,5,-11,6,-11,6,-11,6,-11,6,-10,6,-10,6,-9,6,-9,6,-8,6,-8,6,-7,6,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-7,5,-7,5,-7,6,-7,6,-7,7,-7,7,-7,8,-7,8,-7,8,-7,8,-7,9,-7,9,-7,8,-7,8,-7,8,-8,8,-8,8,-8,8,-8,8,-8,8,-9,8,-9,8,-9,8,-10,8,-10,9,-11,11,-11,37,-35,36,-34,35,-34,34,-34,33,-34,33,-34,32,-34,31,-35,29,-35,28,-36,27,-37,26,-38,26,-38,26,-38,26,-38,27,-37,27,-36,28,-35,29,-34,30,-31,29,-30,28,-28,28,-26,28,-24,28,-22,28,-21,31,-14,31,-12,5,-2,1,-1,-1,0,-1,0,-1,0,0,-2,3,-5,19,-24,21,-23,21,-25,23,-24,25,-24,26,-24,28,-23,30,-22,32,-22,33,-21,34,-21,34,-21,35,-21,36,-22,36,-22,36,-22,37,-23,37,-23,36,-23,35,-24,35,-25,35,-27,35,-28,35,-30,35,-32,35,-33,36,-34,36,-35]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-36,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,28059569,0,86,1,256,1,"[86,-32,4,0,20,-14,20,-14,20,-14,19,-14,19,-14,19,-14,18,-14,17,-15,16,-16,16,-16,16,-16,16,-16,16,-16,16,-16,16,-16,17,-16,17,-15,17,-14,17,-13,17,-12,16,-11,16,-10,16,-9,16,-9,15,-8,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,12,-11,13,-11,13,-10,14,-10,15,-10,16,-10,17,-10,17,-9,18,-8,19,-9,19,-9,19,-9,19,-8,19,-8,19,-8,19,-9,19,-9,18,-10,19,-10,19,-11,19,-11,19,-12,19,-12,20,-13,21,-14,21,-14,11,-10,37,-30,36,-31,36,-30,36,-30,34,-29,33,-29,33,-29,32,-30,30,-31,29,-32,27,-33,27,-33,27,-34,27,-34,27,-33,28,-33,28,-32,29,-31,30,-30,30,-28,30,-26,29,-24,28,-23,28,-21,28,-19,28,-18,27,-18,28,-17,4,-3,1,-1,-1,0,-1,0,-1,0,0,-2,2,-5,15,-25,16,-24,21,-22,23,-21,25,-21,27,-20,28,-20,30,-19,32,-18,34,-18,35,-17,35,-17,35,-18,35,-19,35,-19,35,-19,36,-19,36,-19,36,-19,35,-20,35,-22,35,-23,35,-24,35,-25,34,-27,35,-28,36,-29,36,-30]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-33,11,1,4,0,1,1,1,0,0,0,-97,1,11,0,28134751,0,86,1,256,1,"[86,-32,4,0,-8,11,-8,11,-8,11,-7,11,-7,11,-7,10,-7,10,-6,11,-6,11,-6,11,-5,11,-5,11,-5,11,-5,11,-6,11,-6,11,-6,11,-6,11,-6,10,-7,9,-7,9,-7,8,-7,8,-7,7,-7,7,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-5,7,-5,7,-6,7,-6,7,-7,7,-7,8,-8,8,-8,8,-8,8,-9,8,-9,8,-9,8,-9,8,-9,8,-9,8,-9,8,-9,8,-8,8,-8,9,-8,9,-8,9,-8,9,-8,10,-8,10,-8,11,-9,11,-11,13,-33,42,-33,42,-32,41,-31,41,-30,41,-28,42,-27,40,-25,40,-24,40,-23,41,-22,42,-21,43,-20,43,-21,43,-21,43,-22,42,-22,42,-23,40,-23,39,-24,37,-25,35,-25,34,-25,32,-25,30,-26,28,-27,26,-28,23,-29,21,-6,3,-2,0,0,-1,0,-2,0,-1,-1,1,-3,5,-14,28,-15,28,-19,28,-21,27,-23,28,-25,28,-27,28,-28,28,-30,28,-32,28,-32,27,-33,27,-34,28,-35,29,-34,29,-35,29,-35,29,-35,29,-34,29,-33,30,-32,32,-32,34,-31,36,-31,37,-30,38,-30,39,-31,41,-32,42]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-34,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,28199270,0,86,1,256,1,"[86,-32,4,0,12,7,12,7,12,6,12,6,12,6,12,6,12,5,12,4,12,4,12,4,12,4,12,4,12,3,12,4,12,4,12,4,12,4,11,4,11,5,10,5,10,5,9,5,9,5,8,5,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,8,4,8,5,8,5,8,6,8,6,8,7,8,7,8,7,8,8,8,8,8,8,8,8,9,8,9,8,9,8,9,8,9,7,10,7,10,7,11,7,11,7,11,7,11,7,12,7,12,7,12,10,44,33,43,33,42,32,42,32,42,30,41,29,41,28,42,26,42,24,42,22,43,21,44,20,44,20,45,20,45,21,44,21,44,22,42,22,41,23,39,24,37,24,34,24,33,24,31,25,28,25,26,26,20,31,18,32,2,5,0,1,-1,-1,-2,-1,-1,-1,1,0,5,2,28,16,28,17,28,17,28,20,28,22,28,25,28,27,28,29,28,30,28,31,28,32,28,33,29,34,29,35,29,35,29,35,29,35,30,35,31,34,32,33,32,33,34,32,35,32,37,32,38,31,40,31,42,31,43,31]"
