type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,sig_mode,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-34,11,1,5,0,1,1,0,0,0,0,-97,0,11,0,87156727,0,86,1,256,1,"[86,-32,4,0,2,-14,1,-14,1,-13,1,-13,1,-13,1,-13,0,-12,0,-12,-1,-13,-1,-12,-2,-12,-2,-12,-2,-12,-2,-13,-1,-13,-1,-13,-1,-13,-1,-12,0,-12,0,-12,0,-11,0,-11,1,-10,1,-10,2,-10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-9,2,-9,2,-9,2,-9,3,-9,3,-9,4,-10,4,-10,4,-10,4,-10,4,-10,4,-10,4,-10,4,-10,4,-11,4,-11,4,-11,3,-11,3,-11,3,-11,3,-11,3,-12,2,-12,2,-12,2,-13,2,-14,2,-16,8,-50,8,-50,8,-50,7,-49,7,-48,6,-48,5,-47,4,-47,2,-46,0,-46,-2,-46,-4,-46,-4,-47,-4,-47,-4,-47,-3,-47,-2,-46,-1,-46,1,-45,2,-44,3,-43,3,-42,4,-41,4,-40,6,-38,8,-36,12,-34,14,-33,2,-6,0,-2,-1,0,-1,0,-1,0,-1,-2,-1,-6,0,-31,2,-30,5,-31,7,-32,9,-33,11,-33,12,-34,14,-35,16,-35,17,-35,18,-35,18,-36,18,-37,18,-38,18,-39,18,-39,18,-40,17,-40,17,-40,15,-40,15,-40,14,-42,13,-43,12,-45,10,-45,9,-47,9,-48,9,-49]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-33,11,1,4,0,1,1,1,0,0,0,-97,1,11,0,87213784,0,86,1,256,1,"[86,-32,4,0,-6,-14,-6,-14,-6,-13,-6,-13,-6,-13,-6,-12,-6,-12,-6,-12,-6,-12,-7,-12,-7,-11,-8,-11,-8,-11,-7,-11,-7,-11,-7,-12,-7,-12,-6,-12,-5,-12,-5,-12,-5,-11,-4,-11,-4,-11,-3,-11,-3,-10,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-4,-8,-4,-9,-4,-9,-4,-10,-3,-10,-3,-10,-2,-11,-2,-11,-2,-11,-2,-12,-2,-12,-2,-12,-2,-12,-2,-12,-2,-12,-2,-12,-3,-12,-3,-12,-3,-12,-4,-12,-4,-12,-4,-13,-4,-13,-5,-13,-5,-13,-5,-14,-3,-17,-9,-52,-9,-52,-9,-51,-9,-50,-9,-49,-10,-49,-11,-48,-12,-47,-14,-46,-15,-46,-16,-46,-18,-45,-19,-45,-18,-46,-17,-45,-17,-45,-16,-45,-15,-44,-13,-45,-11,-44,-10,-44,-8,-43,-7,-42,-6,-40,-4,-39,-1,-39,9,-37,11,-35,2,-7,0,-2,-1,0,-1,0,0,0,-1,-2,-2,-6,-8,-31,-6,-32,-8,-32,-7,-34,-5,-36,-4,-37,-3,-38,-1,-38,0,-39,1,-41,1,-41,2,-42,2,-43,2,-44,2,-44,2,-45,2,-45,2,-45,1,-45,0,-45,-1,-45,-3,-46,-3,-46,-5,-48,-6,-48,-8,-49,-9,-50,-9,-52]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-36,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,87276104,0,86,1,256,1,"[86,-32,4,0,-23,8,-23,8,-22,8,-21,8,-21,8,-21,9,-20,9,-19,10,-19,10,-19,11,-19,11,-19,11,-19,12,-19,12,-19,12,-19,11,-19,10,-19,9,-19,9,-19,8,-18,7,-18,6,-18,6,-17,5,-17,4,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,-14,6,-15,5,-15,4,-16,4,-17,4,-18,4,-18,3,-18,3,-19,2,-20,2,-20,2,-20,2,-20,2,-20,2,-20,2,-20,3,-20,3,-20,4,-20,4,-21,4,-21,5,-21,5,-21,6,-22,7,-23,8,-23,8,-14,3,-44,12,-44,12,-43,12,-42,12,-41,12,-40,12,-39,12,-39,13,-38,15,-37,16,-37,18,-37,19,-37,20,-37,20,-37,19,-37,19,-38,18,-38,16,-38,15,-37,13,-37,11,-35,10,-35,9,-34,8,-33,7,-33,5,-32,-1,-32,-3,-6,-1,-2,-1,0,-1,0,-1,0,-1,-2,0,-4,2,-24,11,-25,10,-27,9,-28,8,-30,7,-31,6,-33,5,-34,4,-35,2,-36,1,-37,1,-37,1,-38,1,-38,2,-38,2,-38,1,-39,2,-39,2,-39,3,-39,3,-39,4,-39,5,-40,6,-40,7,-41,9,-41,11,-43,12,-44,12]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-36,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,87344292,0,86,1,256,1,"[86,-32,4,0,-3,23,-3,23,-2,22,-2,22,-1,21,-1,21,-1,21,0,21,0,21,1,21,1,20,1,20,1,21,1,21,1,21,1,21,0,21,-1,21,-1,20,-2,20,-3,19,-3,18,-4,17,-5,17,-5,17,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-1,14,-2,14,-2,15,-3,15,-3,16,-4,17,-5,17,-6,17,-6,17,-7,17,-7,18,-7,18,-7,18,-7,18,-6,18,-7,18,-6,18,-6,19,-5,19,-4,20,-4,20,-4,20,-4,20,-3,21,-4,23,-4,24,-4,12,-11,42,-12,42,-11,42,-11,41,-10,41,-10,40,-9,39,-8,39,-6,39,-5,39,-4,39,-3,39,-3,40,-3,40,-3,40,-3,40,-4,39,-5,39,-6,38,-7,37,-8,36,-9,34,-10,33,-11,32,-12,31,-14,29,-20,25,-22,23,-4,4,-2,1,0,-1,0,-1,0,-1,-1,1,-1,4,-6,26,-7,25,-5,26,-7,27,-9,28,-10,28,-11,29,-12,30,-14,30,-15,30,-16,30,-17,30,-17,31,-18,32,-18,32,-18,32,-18,33,-18,33,-17,33,-16,34,-15,35,-15,36,-14,37,-13,37,-12,38,-12,39,-12,41,-12,42]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-35,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,87414566,0,86,1,256,1,"[86,-32,4,0,14,2,14,2,13,1,13,1,13,1,13,1,13,1,12,0,12,0,12,-1,12,-1,12,-1,13,-1,13,-1,13,-1,12,-1,12,0,12,0,12,1,11,1,11,1,11,2,10,2,10,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,8,1,9,1,9,1,9,2,9,2,9,3,9,3,10,3,10,4,10,4,10,4,11,4,11,4,11,4,11,4,11,3,11,3,11,3,12,3,12,3,12,3,12,2,13,2,14,2,14,2,15,3,52,12,51,12,51,12,50,12,48,12,48,12,47,11,47,9,47,7,47,4,47,2,47,1,48,1,49,1,49,1,49,2,48,3,48,4,47,5,46,7,44,9,42,9,40,10,39,11,37,12,35,14,32,19,29,21,4,4,1,1,-1,-1,-2,-1,-1,-1,1,-1,5,0,31,2,31,4,32,4,33,6,34,9,35,11,35,12,36,14,36,16,37,17,37,18,37,18,38,18,39,19,40,19,40,20,40,20,40,19,40,18,41,18,41,17,42,17,43,16,44,16,45,14,48,13,51,13,52,13]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-36,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,87483890,0,86,1,256,1,"[86,-32,4,0,-22,-13,-23,-13,-22,-12,-22,-12,-23,-12,-22,-11,-22,-10,-21,-10,-21,-9,-22,-8,-22,-8,-22,-8,-23,-8,-22,-8,-22,-8,-22,-8,-22,-9,-21,-10,-20,-10,-19,-11,-19,-11,-18,-11,-17,-11,-16,-11,-15,-12,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-14,-8,-14,-8,-15,-10,-15,-10,-15,-11,-15,-12,-15,-13,-15,-13,-15,-14,-15,-15,-15,-15,-15,-16,-16,-16,-16,-15,-16,-15,-16,-15,-16,-14,-17,-14,-18,-14,-19,-14,-19,-14,-20,-14,-20,-13,-21,-13,-22,-13,-22,-14,-13,-8,-43,-25,-42,-26,-42,-25,-41,-25,-41,-24,-41,-23,-41,-22,-41,-21,-41,-19,-41,-18,-42,-16,-42,-15,-43,-15,-43,-15,-43,-15,-42,-15,-42,-16,-41,-17,-40,-18,-38,-19,-37,-20,-35,-20,-34,-21,-32,-21,-30,-22,-28,-23,-25,-24,-23,-25,-4,-5,-1,-2,0,0,0,0,0,0,-2,-1,-5,-2,-27,-11,-27,-12,-26,-15,-27,-16,-27,-19,-27,-21,-28,-22,-28,-24,-28,-26,-28,-27,-28,-28,-28,-28,-29,-29,-29,-29,-29,-30,-29,-30,-30,-30,-30,-29,-31,-28,-31,-28,-32,-28,-33,-28,-34,-27,-36,-27,-37,-26,-39,-25,-41,-26,-41,-26]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-34,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,87552998,0,86,1,256,1,"[86,-32,4,0,9,-11,9,-11,8,-11,8,-11,8,-11,8,-11,7,-11,7,-11,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,6,-12,7,-12,7,-11,7,-11,7,-10,7,-10,7,-9,7,-9,7,-8,7,-8,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-8,5,-8,6,-8,6,-8,7,-8,7,-8,8,-8,8,-8,9,-8,9,-8,9,-8,9,-8,9,-7,9,-7,9,-8,9,-8,9,-8,9,-9,9,-9,9,-9,9,-9,9,-10,9,-10,9,-10,9,-11,10,-12,13,-11,41,-35,41,-35,40,-35,39,-35,38,-35,37,-35,37,-35,35,-36,33,-36,32,-37,31,-39,30,-40,30,-41,31,-41,31,-40,31,-39,32,-38,32,-37,33,-36,33,-34,33,-32,33,-30,33,-28,32,-27,32,-24,32,-22,37,-12,37,-10,6,-2,1,-1,-1,0,-1,0,-1,0,1,-2,3,-5,22,-23,24,-22,23,-24,26,-23,28,-23,30,-22,32,-22,33,-21,35,-21,36,-20,37,-20,38,-20,39,-21,39,-21,39,-21,40,-21,40,-22,40,-22,40,-23,40,-24,40,-25,39,-26,40,-28,40,-29,39,-31,39,-33,40,-34,41,-35]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-36,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,87620396,0,86,1,256,1,"[86,-32,4,0,-25,4,-24,4,-24,5,-23,5,-23,5,-22,6,-22,6,-21,6,-21,7,-21,8,-21,8,-21,8,-21,9,-21,9,-21,8,-21,8,-21,8,-21,7,-20,6,-20,5,-20,4,-20,3,-19,2,-19,1,-18,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,-15,4,-16,3,-16,2,-17,2,-18,1,-18,1,-19,1,-19,0,-20,0,-20,-1,-21,-1,-21,-1,-21,-2,-21,-1,-21,-1,-21,-1,-21,0,-20,0,-21,1,-22,1,-22,2,-22,2,-22,3,-23,3,-24,4,-25,5,-15,-1,-46,0,-46,0,-45,0,-45,0,-44,1,-43,1,-42,2,-42,3,-41,4,-41,6,-41,7,-41,8,-41,9,-41,9,-41,9,-41,8,-41,7,-41,6,-41,5,-40,3,-39,1,-37,0,-37,-1,-36,-1,-35,-3,-34,-5,-31,-13,-30,-15,-6,-3,-2,-1,0,0,0,-1,0,0,-2,0,-5,0,-28,0,-28,-2,-29,1,-29,0,-31,-2,-31,-3,-32,-4,-33,-5,-34,-7,-35,-8,-36,-9,-36,-9,-37,-9,-38,-8,-38,-9,-38,-9,-38,-9,-39,-9,-38,-9,-38,-7,-39,-6,-40,-5,-40,-4,-41,-3,-42,-2,-43,-1,-45,-1,-45,-1]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-35,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,87689203,0,86,1,256,1,"[86,-32,4,0,10,-8,10,-8,10,-8,9,-8,9,-8,9,-8,9,-8,8,-8,8,-9,7,-9,7,-9,7,-9,7,-9,7,-9,8,-9,8,-9,8,-9,8,-8,8,-8,8,-7,8,-7,8,-6,8,-6,8,-6,8,-5,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-6,6,-5,7,-5,7,-5,7,-5,8,-5,8,-5,8,-5,9,-5,9,-4,9,-5,9,-4,9,-4,10,-4,10,-5,9,-5,9,-5,9,-5,9,-6,9,-6,10,-6,10,-6,9,-7,10,-7,10,-8,10,-8,13,-6,44,-19,43,-19,42,-18,41,-19,40,-19,39,-20,38,-21,38,-22,36,-23,35,-23,35,-24,34,-25,35,-25,35,-25,35,-25,35,-25,35,-24,36,-23,36,-22,36,-20,35,-19,34,-17,33,-16,33,-14,32,-12,32,-10,34,2,33,4,5,0,1,0,-1,-1,-1,0,-1,0,1,-1,4,-2,27,-10,28,-9,25,-13,26,-12,28,-11,29,-11,31,-10,33,-9,34,-8,35,-8,36,-7,37,-7,38,-7,38,-7,38,-6,38,-7,38,-7,38,-8,38,-8,38,-9,38,-11,39,-12,39,-13,40,-15,40,-16,41,-16,42,-17,42,-17]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-35,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,87758352,0,86,1,256,1,"[86,-32,4,0,7,12,7,12,7,11,7,11,7,11,8,10,8,10,8,9,8,9,8,9,8,9,8,9,9,9,9,9,9,9,9,9,8,9,8,9,8,9,7,9,6,9,6,9,5,9,5,9,4,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,4,7,4,8,4,8,4,9,4,9,4,9,3,10,3,10,3,11,3,11,3,11,3,11,3,11,3,11,3,11,4,11,4,10,4,11,5,11,5,11,6,11,6,11,6,12,6,12,7,12,4,16,19,52,18,51,18,49,18,48,18,46,19,46,19,44,21,43,22,42,24,41,25,41,26,40,27,40,27,40,27,40,26,41,25,42,24,42,23,42,20,41,18,40,16,39,15,39,13,38,11,38,9,37,-2,40,-4,39,-1,6,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,4,12,29,11,30,13,29,11,31,10,33,9,34,8,36,7,38,6,40,5,41,5,42,5,43,5,44,6,44,5,45,5,45,5,45,5,45,6,45,7,44,8,45,10,45,11,45,13,46,15,46,17,48,18,49,19,50]"
