type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,11,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-98,0,11,0,-1395020250,0,131,0,128,1,"[-125,48,8,0,-14,3,-14,3,-13,3,-12,3,-12,3,-11,3,-11,4,-10,4,-10,4,-10,4,-10,5,-10,5,-10,5,-10,5,-11,5,-11,5,-10,5,-10,4,-10,4,-9,3,-9,3,-9,3,-9,2,-9,2,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-10,2,-11,2,-12,2,-12,1,-12,1,-12,0,-12,0,-12,0,-12,-1,-13,-1,-13,-1,-14,-1,-14,-1,-13,-1,-13,-1,-13,-1,-13,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,1,-13,2,-14,2,-14,1]"
CSI_DATA,12,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-98,0,11,0,-1395019174,0,135,0,128,1,"[-121,112,8,0,1,-14,1,-14,0,-13,0,-13,0,-12,0,-12,-1,-12,-1,-11,-2,-11,-2,-11,-3,-11,-3,-11,-3,-11,-3,-11,-2,-12,-2,-12,-2,-11,-2,-11,-2,-11,-2,-10,-1,-10,-1,-9,-1,-9,-1,-9,-1,-9,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-11,1,-11,2,-12,2,-12,3,-11,3,-12,3,-12,4,-11,4,-11,4,-12,4,-13,4,-13,5,-12,5,-12,5,-12,4,-12,4,-12,3,-12,3,-12,3,-12,3,-12,2,-12,2,-12,2,-13,2,-14,2,-14]"
CSI_DATA,13,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-98,0,11,0,-1394999124,0,191,0,128,1,"[-65,-16,11,0,-37,-19,-37,-18,-36,-15,-35,-14,-35,-13,-33,-12,-32,-10,-32,-9,-32,-9,-33,-9,-33,-6,-33,-5,-34,-5,-34,-6,-35,-7,-34,-7,-33,-7,-31,-7,-30,-7,-29,-8,-28,-8,-27,-8,-26,-9,-25,-9,-24,-10,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-4,-29,-15,-29,-16,-30,-18,-31,-20,-30,-21,-30,-22,-29,-23,-28,-24,-28,-25,-29,-26,-30,-28,-30,-29,-28,-29,-28,-28,-28,-27,-29,-26,-30,-25,-29,-22,-30,-22,-30,-22,-31,-21,-31,-20,-32,-20,-34,-20,-35,-21,-35,-22]"
CSI_DATA,14,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-98,0,11,0,-1394983133,0,37,0,128,1,"[37,80,2,0,-12,-8,-12,-8,-12,-7,-11,-6,-11,-6,-11,-6,-10,-5,-10,-5,-11,-5,-11,-4,-11,-4,-11,-3,-11,-3,-11,-4,-12,-4,-11,-4,-11,-4,-11,-4,-10,-4,-10,-4,-9,-4,-9,-4,-9,-4,-8,-4,-8,-4,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-9,-6,-9,-7,-9,-8,-9,-8,-9,-8,-9,-9,-9,-9,-8,-9,-8,-10,-8,-10,-9,-11,-9,-11,-8,-11,-8,-10,-8,-10,-9,-10,-9,-10,-9,-9,-9,-9,-9,-9,-9,-8,-10,-8,-10,-8,-10,-9,-11,-9,-11,-9]"
CSI_DATA,15,5c:01:3b:6b:b0:95,-44,11,1,7,0,1,1,0,0,0,0,-98,0,11,0,-1394982365,0,86,1,256,1,"[86,-32,4,0,-9,24,-8,24,-7,23,-6,22,-6,22,-5,22,-4,22,-3,21,-2,21,-2,21,-2,21,-2,21,-1,21,-1,21,-1,21,-1,21,-1,20,-1,20,-2,19,-2,19,-3,18,-4,17,-5,16,-5,16,-5,16,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-4,20,-5,20,-6,21,-8,21,-9,21,-9,22,-10,22,-11,22,-12,22,-13,22,-13,22,-14,22,-14,21,-14,21,-14,21,-13,21,-12,21,-12,21,-11,21,-11,22,-10,23,-10,23,-9,23,-10,23,-9,24,-9,24,-7,13,-20,45,-20,45,-19,44,-17,43,-16,42,-15,41,-14,40,-13,40,-10,40,-8,40,-6,40,-5,40,-4,40,-5,40,-5,40,-6,40,-6,39,-7,38,-8,37,-9,36,-10,34,-10,33,-10,32,-10,30,-11,29,-12,28,-17,25,-18,24,-4,4,-2,1,0,-1,-1,-2,-1,-1,0,2,-1,6,-3,38,-6,38,-8,39,-11,39,-14,39,-17,39,-20,40,-22,40,-24,40,-26,40,-27,40,-27,40,-27,41,-27,41,-27,41,-28,40,-28,39,-28,39,-27,38,-26,39,-26,39,-25,39,-24,40,-22,42,-21,43,-20,44,-19,45,-18,46]"
CSI_DATA,16,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,0,0,0,0,-98,0,11,0,-1394981428,0,86,1,256,1,"[86,-32,4,0,-27,-1,-26,0,-25,0,-24,1,-24,1,-23,1,-23,2,-22,3,-21,4,-21,5,-21,5,-22,6,-21,6,-21,6,-21,6,-21,6,-21,5,-20,4,-20,3,-19,3,-19,2,-18,2,-18,2,-17,1,-17,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-21,2,-22,1,-23,-1,-24,-2,-24,-2,-24,-3,-25,-4,-25,-5,-25,-6,-25,-6,-26,-6,-26,-6,-26,-7,-25,-7,-25,-7,-25,-7,-25,-6,-24,-5,-25,-5,-25,-4,-25,-4,-25,-3,-25,-2,-26,-1,-27,-1,-27,-1,-16,-3,-50,-8,-49,-9,-48,-8,-46,-7,-45,-6,-45,-5,-44,-3,-43,-2,-42,-1,-42,1,-42,2,-41,3,-41,4,-41,4,-41,4,-41,4,-40,4,-40,3,-39,3,-38,2,-37,0,-36,-1,-34,-2,-33,-3,-32,-4,-31,-5,-28,-12,-27,-13,-5,-3,-2,-1,0,0,1,-1,0,0,-3,0,-8,0,-40,-1,-40,-3,-40,-1,-41,-4,-42,-7,-43,-9,-44,-11,-45,-13,-45,-15,-45,-17,-45,-18,-46,-18,-46,-19,-46,-19,-45,-20,-45,-20,-44,-20,-44,-20,-44,-19,-44,-17,-45,-16,-45,-15,-46,-14,-47,-13,-47,-12,-48,-11,-49,-10,-50,-9]"
CSI_DATA,17,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,0,0,0,0,-98,0,11,0,-1394979963,0,86,1,256,1,"[86,-32,4,0,25,-2,25,-2,24,-3,23,-3,23,-4,22,-4,21,-5,21,-5,20,-6,20,-7,20,-8,20,-8,20,-8,19,-8,20,-8,20,-8,19,-7,19,-6,18,-6,18,-5,18,-4,17,-4,17,-4,16,-3,16,-2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,20,-5,21,-4,22,-3,22,-2,23,-1,24,0,24,1,24,2,25,3,25,3,25,3,25,4,25,4,24,4,24,4,24,4,24,3,24,2,24,2,24,1,24,1,25,0,24,-1,25,-1,26,-2,26,-2,15,-1,50,-3,49,-3,48,-3,46,-3,45,-4,44,-5,43,-6,42,-7,40,-9,39,-11,39,-12,39,-14,39,-14,39,-14,38,-14,38,-14,38,-13,37,-13,37,-12,36,-10,36,-8,34,-7,33,-7,32,-6,31,-4,30,-3,30,1,29,3,5,0,1,0,-1,-1,-2,0,-1,0,1,-1,6,-3,35,-13,36,-11,39,-8,40,-6,42,-3,43,-1,45,1,45,4,46,6,47,7,47,8,47,8,47,8,48,8,48,8,47,9,47,9,47,9,46,8,46,7,46,6,47,6,47,4,47,2,47,1,48,-1,49,-2,50,-3]"
CSI_DATA,18,5c:01:3b:6b:b0:95,-39,11,1,7,0,1,1,0,0,0,0,-98,0,11,0,-1394950066,0,86,1,256,1,"[86,-32,4,0,12,3,12,3,11,2,11,2,11,1,11,1,11,1,10,0,10,0,10,-1,10,-1,10,-1,10,-1,10,-1,10,-1,10,-1,10,-1,10,0,9,0,9,0,9,0,8,1,8,1,8,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,10,1,10,2,11,2,10,3,11,3,11,4,11,4,11,4,11,5,11,5,11,5,11,6,11,5,11,5,11,5,10,5,11,4,11,4,11,4,11,3,11,3,11,3,12,3,12,3,13,3,13,4,46,15,45,16,44,16,43,15,41,14,41,12,40,10,41,9,40,7,39,5,40,3,40,2,40,2,40,3,40,2,40,2,39,2,38,2,37,3,36,4,35,5,34,6,32,6,31,7,29,9,28,10,24,15,22,17,3,3,0,0,-1,-1,-2,-1,-1,-1,1,0,6,0,37,7,37,9,37,7,38,10,38,13,38,16,38,18,38,20,39,21,39,23,39,24,39,24,39,25,39,26,39,26,39,26,39,26,39,25,38,24,38,23,38,23,39,22,40,21,42,20,43,19,44,19,45,18,45,17]"
CSI_DATA,19,5c:01:3b:6b:b0:95,-43,11,1,6,0,1,1,1,0,0,0,-98,1,11,0,-1394934100,0,82,1,256,1,"[82,-96,4,0,24,-2,24,-2,23,-3,22,-3,22,-4,21,-4,20,-5,20,-6,19,-6,19,-7,19,-7,19,-7,19,-8,19,-8,19,-8,19,-7,19,-7,18,-6,18,-6,17,-5,17,-4,16,-4,16,-3,16,-2,15,-2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,19,-4,20,-3,20,-2,21,-2,22,-1,22,0,23,1,23,2,23,3,23,4,24,4,24,4,24,4,23,4,23,4,23,3,23,3,23,2,23,2,23,1,23,0,24,0,23,0,24,-1,25,-1,25,-1,14,0,47,1,46,1,45,1,44,0,43,0,42,-1,41,-3,40,-4,39,-6,38,-7,38,-9,38,-10,38,-10,38,-10,38,-10,37,-10,37,-9,36,-9,36,-8,35,-7,34,-5,33,-4,32,-3,31,-2,30,-1,29,0,27,7,26,8,4,1,1,0,-1,-1,-2,0,-1,0,1,-1,6,-2,35,-9,36,-6,37,-5,38,-3,39,0,41,2,42,4,42,6,43,7,44,9,44,10,44,10,45,11,45,11,44,12,44,12,44,12,44,11,43,11,43,9,43,9,44,8,44,7,45,5,45,4,46,2,47,2,47,1]"
CSI_DATA,20,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-98,0,11,0,-1394918982,0,37,0,128,1,"[37,80,2,0,-3,13,-2,13,-2,12,-1,12,-1,12,-1,11,-1,11,0,10,0,10,0,10,1,10,1,10,1,11,1,11,1,11,0,11,0,11,0,10,0,9,0,9,-1,9,-1,9,-1,8,-1,8,-1,8,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,10,-2,10,-2,11,-3,11,-3,11,-3,11,-4,11,-4,11,-5,11,-5,11,-5,12,-6,12,-6,11,-6,11,-5,11,-5,11,-5,11,-4,11,-4,11,-4,11,-4,11,-3,11,-3,11,-3,12,-3,13,-3,13]"
