type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,44921512,0,37,0,128,1,"[37,80,2,0,-16,16,-16,16,-14,16,-13,16,-13,16,-12,15,-11,15,-10,15,-10,15,-10,15,-10,16,-9,17,-9,17,-9,16,-10,16,-10,16,-10,16,-9,15,-9,14,-9,14,-9,13,-9,12,-9,12,-9,11,-9,11,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-12,13,-13,14,-14,14,-15,14,-16,13,-16,12,-17,12,-17,12,-18,12,-18,12,-19,12,-20,12,-20,11,-20,11,-19,11,-19,11,-18,11,-17,12,-17,12,-16,13,-16,13,-16,14,-16,13,-16,14,-17,15,-18,15]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,44923789,0,37,0,128,1,"[37,80,2,0,-22,-8,-22,-8,-21,-7,-21,-6,-20,-6,-19,-6,-19,-5,-18,-4,-19,-3,-19,-2,-19,-1,-19,0,-20,-1,-20,-2,-20,-2,-20,-1,-20,-2,-19,-2,-18,-2,-17,-3,-16,-3,-16,-3,-16,-3,-15,-3,-15,-3,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-17,-6,-18,-7,-19,-8,-19,-9,-18,-10,-18,-11,-18,-12,-17,-13,-17,-13,-18,-13,-19,-13,-20,-14,-19,-14,-18,-14,-18,-13,-18,-14,-18,-13,-18,-11,-18,-11,-19,-11,-19,-11,-19,-10,-19,-9,-21,-9,-22,-10,-22,-10]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-44,11,1,7,0,1,1,0,0,0,0,-97,0,11,0,44924194,0,86,1,256,1,"[86,-32,4,0,7,25,7,24,8,23,8,22,9,21,9,21,9,20,10,19,10,19,10,19,10,18,11,18,11,18,12,17,12,17,12,17,11,17,11,17,10,16,10,16,8,16,7,16,6,16,6,16,5,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,20,8,20,7,22,6,22,5,23,5,23,4,24,4,25,3,26,1,26,0,26,0,27,0,26,0,26,1,26,1,25,2,25,2,24,3,24,4,24,5,25,5,25,5,25,5,25,6,26,6,26,3,15,12,49,12,48,12,46,12,45,13,43,14,42,14,40,15,39,16,37,18,36,20,36,21,35,22,35,22,35,22,34,21,34,20,34,19,33,18,33,17,32,16,32,15,31,14,30,13,29,11,29,10,29,6,30,4,30,0,5,0,1,-1,-1,-1,-2,-1,-1,1,1,3,6,18,35,16,37,16,39,13,40,11,42,9,44,7,45,5,47,3,48,2,48,1,49,0,49,0,50,0,50,0,50,0,50,0,49,0,49,1,48,1,47,2,47,3,47,5,47,7,47,8,47,9,48,10,49,11,50]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-43,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,44978179,0,86,1,256,1,"[86,-32,4,0,-14,-21,-14,-20,-14,-19,-14,-18,-14,-18,-14,-17,-14,-16,-14,-15,-15,-15,-15,-14,-16,-13,-16,-13,-16,-13,-16,-13,-16,-13,-16,-12,-15,-13,-15,-13,-14,-13,-13,-13,-12,-12,-12,-12,-11,-12,-10,-12,-10,-12,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-13,-16,-12,-17,-12,-18,-11,-20,-11,-20,-10,-21,-10,-22,-9,-23,-8,-23,-8,-24,-8,-24,-8,-24,-8,-24,-8,-23,-8,-23,-8,-23,-9,-23,-9,-22,-9,-22,-10,-22,-10,-22,-11,-22,-12,-21,-12,-21,-13,-22,-13,-22,-6,-14,-20,-43,-20,-42,-19,-41,-19,-39,-19,-38,-20,-37,-20,-35,-21,-34,-22,-33,-23,-32,-25,-30,-26,-29,-26,-29,-27,-29,-26,-28,-26,-28,-25,-27,-24,-27,-23,-28,-21,-27,-20,-27,-19,-26,-19,-25,-18,-25,-16,-25,-14,-24,-9,-26,-7,-26,-2,-5,-1,-2,0,0,0,0,0,0,-2,-2,-4,-6,-20,-32,-18,-34,-19,-34,-17,-36,-15,-38,-14,-40,-13,-41,-11,-42,-10,-44,-9,-45,-8,-45,-8,-46,-8,-46,-8,-46,-8,-46,-7,-45,-7,-45,-8,-45,-8,-44,-9,-44,-10,-43,-11,-43,-13,-43,-14,-43,-16,-42,-18,-42,-18,-43,-19,-43]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,45017570,0,86,1,256,1,"[86,-32,4,0,-26,1,-25,1,-25,2,-24,3,-23,3,-23,3,-22,4,-21,4,-21,5,-21,5,-20,6,-20,7,-20,7,-20,7,-20,7,-20,6,-20,6,-19,5,-18,5,-18,4,-18,4,-17,3,-17,2,-16,2,-16,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-21,4,-22,3,-22,2,-23,1,-24,0,-24,-1,-25,-2,-25,-3,-25,-3,-26,-4,-26,-5,-26,-5,-26,-5,-25,-5,-25,-5,-25,-4,-25,-4,-25,-3,-25,-2,-25,-2,-25,-1,-25,-1,-25,0,-26,0,-27,0,-27,0,-16,0,-50,0,-49,0,-48,0,-47,1,-45,2,-44,2,-43,3,-42,5,-41,6,-40,8,-40,9,-39,11,-39,11,-39,12,-39,11,-38,11,-38,11,-37,10,-37,9,-36,8,-35,6,-34,5,-33,5,-32,4,-31,3,-30,2,-29,-2,-28,-3,-5,-1,-2,-1,0,-1,1,-1,0,-1,-3,0,-7,2,-39,10,-39,8,-41,6,-42,3,-43,0,-44,-2,-45,-3,-46,-5,-47,-7,-47,-9,-48,-10,-48,-11,-48,-11,-49,-11,-48,-11,-48,-12,-47,-12,-47,-11,-47,-10,-47,-9,-47,-8,-47,-7,-48,-6,-48,-4,-48,-3,-49,-1,-49,-1,-50,-1]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-41,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,45070457,0,86,1,256,1,"[86,-32,4,0,22,-10,21,-10,20,-10,19,-10,19,-11,18,-11,18,-11,17,-11,16,-12,16,-12,15,-13,15,-13,15,-13,15,-13,15,-13,15,-12,15,-12,14,-11,14,-10,14,-10,14,-9,13,-8,13,-8,13,-7,12,-7,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,16,-11,17,-11,18,-10,19,-10,20,-9,21,-8,21,-7,22,-6,22,-6,23,-6,23,-5,24,-5,23,-5,23,-5,22,-5,22,-5,22,-6,22,-6,22,-6,22,-7,22,-7,22,-8,21,-8,21,-9,22,-10,23,-10,13,-3,43,-11,43,-10,42,-10,41,-11,39,-11,38,-12,37,-12,36,-14,35,-15,34,-16,33,-17,32,-17,32,-18,33,-18,32,-18,32,-18,32,-17,31,-17,31,-16,30,-14,29,-13,28,-12,27,-10,26,-9,26,-8,25,-6,26,1,25,2,4,0,1,0,-1,-1,-2,0,-1,0,1,-1,5,-3,33,-13,34,-11,33,-14,35,-12,36,-10,38,-9,39,-7,41,-6,42,-4,43,-3,43,-2,43,-1,44,-1,44,0,44,0,44,0,44,0,43,-1,43,-1,42,-2,42,-3,42,-4,43,-5,43,-6,43,-7,43,-8,43,-9,44,-9]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,45122476,0,86,1,256,1,"[86,-32,4,0,-4,26,-3,25,-3,25,-2,24,-2,24,-1,23,0,22,1,22,1,21,2,21,2,21,2,21,3,21,3,21,3,21,2,21,2,20,2,20,1,19,0,18,0,17,-1,17,-1,16,-2,16,-2,16,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,21,0,21,-1,22,-2,23,-3,23,-5,24,-6,24,-6,24,-7,24,-8,24,-9,25,-9,25,-9,25,-9,24,-9,24,-9,24,-8,24,-7,24,-7,24,-6,24,-6,25,-5,25,-5,25,-5,26,-4,27,-4,27,-4,15,-11,50,-11,49,-10,48,-9,46,-8,45,-7,45,-5,43,-4,43,-2,42,-1,41,0,41,1,41,1,41,2,41,2,40,2,40,1,40,0,39,-1,38,-2,37,-3,35,-3,33,-4,32,-4,31,-5,30,-7,29,-11,27,-12,26,-3,4,-1,1,0,-1,-1,-2,0,-1,0,2,0,6,2,39,-1,39,-2,40,-4,41,-7,42,-9,43,-11,44,-14,45,-15,45,-17,45,-19,45,-20,45,-21,46,-21,46,-21,45,-21,45,-21,45,-21,45,-20,44,-19,44,-18,45,-16,45,-15,46,-14,46,-13,47,-12,48,-12,49,-11,49]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,45167986,0,86,1,256,1,"[86,-32,4,0,12,20,12,19,12,18,12,17,13,16,13,16,13,15,13,14,13,14,13,14,13,13,13,12,14,12,14,12,14,12,14,12,14,12,13,12,12,12,12,11,10,11,9,11,9,11,8,11,7,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,15,11,15,10,17,10,18,10,18,9,19,9,20,8,20,8,21,7,22,7,23,6,23,6,22,6,22,6,22,7,22,7,21,8,21,8,20,9,20,10,20,10,20,10,20,11,21,11,21,12,21,5,12,18,41,18,40,18,39,17,38,18,37,18,35,19,34,19,32,20,31,21,30,22,29,22,28,23,28,23,28,23,27,22,27,22,27,21,27,20,26,19,26,18,25,16,24,15,24,14,23,13,23,11,23,6,25,4,25,0,4,0,1,-1,-1,-1,-1,-1,-1,1,1,3,4,20,28,18,30,19,31,17,32,15,35,14,36,13,38,12,40,10,41,9,42,8,43,8,43,8,44,8,44,8,44,7,44,7,43,7,43,7,42,8,41,9,41,11,41,12,41,14,41,15,41,16,41,17,42,18,41]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,45216031,0,86,1,256,1,"[86,-32,4,0,-1,-27,-1,-26,-1,-25,-2,-25,-3,-24,-3,-23,-4,-23,-5,-22,-5,-22,-5,-22,-6,-21,-6,-21,-6,-21,-6,-21,-6,-21,-6,-21,-6,-20,-5,-20,-5,-19,-4,-19,-4,-18,-3,-17,-2,-17,-1,-17,-1,-16,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-6,-4,-21,-4,-22,-3,-23,-2,-24,-1,-25,0,-25,1,-26,2,-26,3,-26,4,-26,4,-27,5,-27,5,-26,5,-26,5,-26,4,-26,4,-26,3,-25,3,-26,2,-26,1,-26,0,-26,0,-26,0,-26,0,-28,0,-28,-2,-16,-5,-52,-4,-51,-4,-50,-5,-48,-5,-47,-6,-45,-7,-44,-8,-43,-9,-42,-11,-41,-13,-41,-14,-40,-15,-40,-15,-40,-15,-39,-14,-39,-13,-38,-12,-38,-11,-37,-10,-36,-9,-35,-8,-34,-7,-32,-6,-32,-5,-31,-3,-30,-2,-29,-1,-29,-1,-6,0,-2,-1,0,0,1,0,0,-2,-2,-4,-7,-18,-36,-16,-37,-11,-41,-8,-42,-6,-44,-4,-46,-2,-47,0,-48,2,-49,4,-49,5,-50,6,-50,6,-50,6,-51,7,-50,7,-50,7,-50,7,-50,6,-49,5,-49,4,-49,3,-49,2,-49,0,-50,-2,-49,-3,-50,-3,-52,-4,-53]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,45266159,0,86,1,256,1,"[86,-32,4,0,9,-13,9,-13,9,-13,8,-12,8,-12,7,-12,7,-12,6,-12,6,-12,5,-12,5,-12,5,-12,4,-12,4,-12,4,-12,5,-12,5,-12,5,-11,5,-11,5,-10,5,-10,5,-9,5,-9,5,-9,5,-8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,6,-12,7,-12,8,-12,8,-12,9,-11,10,-11,10,-11,11,-11,12,-11,12,-11,12,-11,13,-11,12,-10,12,-10,12,-10,12,-10,11,-10,11,-10,11,-11,11,-11,10,-12,10,-12,10,-12,10,-12,10,-13,10,-13,13,-14,43,-45,42,-44,41,-43,39,-42,37,-41,35,-41,34,-41,32,-41,30,-41,27,-42,25,-43,24,-44,23,-44,23,-44,23,-43,23,-43,24,-41,24,-40,24,-39,24,-37,24,-36,23,-34,22,-32,22,-30,22,-28,23,-26,28,-20,28,-18,4,-4,1,-1,-1,0,-1,1,-1,0,1,-3,4,-8,25,-42,27,-41,28,-42,32,-41,35,-40,38,-39,40,-39,42,-38,45,-37,48,-35,49,-35,50,-34,51,-34,52,-34,51,-33,51,-33,51,-33,50,-33,48,-33,47,-34,46,-35,46,-36,45,-37,45,-39,43,-40,43,-42,44,-43,44,-44]"
