type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-41,11,0,0,0,0,0,0,0,0,0,-95,0,11,0,9921524,0,37,0,128,1,"[37,80,2,0,-28,-1,-28,0,-26,1,-25,2,-24,2,-23,3,-22,4,-21,4,-21,4,-21,5,-21,6,-21,7,-22,7,-21,7,-22,7,-22,7,-21,7,-20,6,-19,5,-19,5,-18,5,-18,4,-17,4,-17,4,-17,4,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-22,0,-23,-1,-24,-2,-25,-4,-24,-5,-25,-5,-25,-6,-24,-7,-24,-7,-25,-7,-26,-8,-27,-9,-26,-9,-26,-9,-26,-8,-26,-8,-26,-7,-25,-5,-25,-5,-25,-4,-25,-4,-25,-3,-25,-3,-26,-2,-28,-2,-28,-3]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-37,11,0,0,0,0,0,0,0,0,0,-95,0,11,0,9923919,0,37,0,128,1,"[37,80,2,0,11,-9,11,-9,9,-9,9,-9,9,-9,8,-9,7,-9,7,-9,7,-9,7,-9,6,-9,6,-10,6,-10,6,-9,7,-10,7,-10,7,-9,6,-9,6,-8,6,-8,6,-8,6,-7,6,-7,6,-6,6,-6,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,8,-8,8,-8,9,-8,10,-8,10,-7,10,-7,11,-7,11,-6,11,-6,11,-6,12,-6,13,-6,13,-6,12,-5,12,-6,12,-6,11,-6,10,-6,11,-7,11,-7,11,-7,10,-7,10,-7,11,-8,12,-8,12,-8]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-47,11,1,7,0,1,1,0,0,0,0,-95,0,11,0,9924777,0,86,1,256,1,"[86,-32,4,0,25,2,24,2,23,1,23,0,23,0,22,-1,21,-1,21,-2,20,-3,20,-4,20,-5,20,-5,20,-5,19,-5,19,-5,19,-5,19,-4,19,-4,18,-3,17,-3,17,-2,16,-2,16,-2,15,-1,15,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,21,-2,21,-1,22,0,23,1,23,2,24,3,24,4,24,5,24,6,24,7,25,7,25,7,24,7,24,7,24,7,24,7,24,6,23,6,24,6,24,5,24,4,24,4,24,3,25,3,26,2,27,2,14,3,47,10,47,10,45,10,44,9,43,7,43,6,41,4,41,3,40,1,39,0,39,-1,39,-2,39,-3,39,-3,38,-3,38,-3,38,-3,37,-3,36,-3,35,-2,34,-1,33,0,31,1,30,1,29,3,29,4,27,10,25,11,4,2,1,0,-1,-1,-2,0,-1,-1,2,-1,6,-1,39,-2,39,1,40,0,41,3,42,5,42,8,43,10,44,12,44,14,45,16,45,18,45,18,45,19,45,19,44,20,44,20,43,20,43,20,42,19,43,17,43,16,44,15,45,14,45,13,45,12,46,12,48,11,48,11]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-47,11,1,7,0,1,1,1,0,0,0,-95,1,11,0,9966497,0,86,1,256,1,"[86,-32,4,0,-23,-14,-22,-13,-21,-12,-21,-11,-21,-11,-21,-10,-21,-9,-21,-8,-21,-7,-21,-6,-21,-5,-21,-5,-21,-5,-21,-5,-21,-5,-20,-5,-20,-5,-20,-5,-19,-6,-18,-6,-17,-6,-17,-6,-16,-6,-16,-6,-15,-7,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-21,-9,-20,-10,-20,-11,-21,-13,-20,-14,-20,-15,-20,-16,-20,-17,-20,-17,-20,-18,-20,-18,-20,-19,-19,-18,-19,-18,-19,-18,-19,-18,-19,-17,-19,-17,-20,-16,-20,-16,-20,-16,-21,-15,-21,-15,-22,-14,-23,-15,-24,-15,-12,-10,-40,-31,-39,-31,-38,-31,-37,-29,-36,-27,-36,-26,-36,-25,-36,-23,-36,-21,-36,-19,-37,-17,-38,-16,-38,-15,-38,-15,-38,-15,-37,-15,-36,-15,-36,-15,-35,-15,-33,-15,-32,-15,-31,-15,-30,-15,-29,-15,-27,-16,-25,-17,-20,-22,-19,-23,-4,-5,-1,-2,0,0,1,0,0,0,-3,-1,-7,-3,-37,-18,-35,-20,-37,-20,-35,-23,-35,-26,-35,-29,-35,-31,-34,-33,-34,-35,-33,-37,-32,-38,-32,-38,-32,-39,-32,-39,-32,-39,-31,-39,-31,-39,-31,-39,-31,-38,-31,-37,-32,-36,-32,-36,-34,-35,-35,-34,-36,-33,-37,-32,-39,-32,-40,-33]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-46,11,1,6,0,1,1,1,0,0,0,-95,1,11,0,10018912,0,86,1,256,1,"[86,-32,4,0,-15,-3,-15,-3,-14,-2,-14,-2,-14,-2,-13,-1,-13,-1,-13,-1,-13,0,-13,0,-12,1,-12,1,-12,1,-12,1,-12,1,-12,1,-12,1,-12,0,-11,0,-11,0,-11,0,-10,0,-10,-1,-10,-1,-9,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-13,0,-13,-1,-13,-2,-14,-2,-14,-3,-14,-3,-14,-4,-14,-4,-14,-5,-15,-5,-15,-6,-15,-6,-14,-6,-14,-6,-14,-6,-14,-6,-14,-5,-14,-5,-14,-5,-14,-4,-14,-4,-14,-4,-14,-4,-15,-3,-15,-3,-15,-3,-17,-7,-54,-18,-53,-18,-52,-17,-51,-17,-49,-15,-49,-14,-48,-12,-47,-11,-46,-9,-46,-7,-46,-5,-46,-3,-47,-2,-47,-2,-46,-2,-45,-2,-44,-2,-43,-3,-43,-4,-41,-5,-40,-6,-38,-6,-37,-6,-36,-7,-35,-8,-33,-9,-30,-16,-28,-17,-5,-4,-2,-2,0,0,1,0,0,0,-3,0,-9,-1,-45,-3,-45,-6,-46,-6,-47,-10,-48,-14,-49,-16,-49,-18,-49,-21,-50,-23,-50,-25,-49,-27,-49,-27,-51,-28,-51,-28,-50,-29,-49,-29,-49,-29,-49,-29,-48,-28,-48,-27,-48,-26,-49,-25,-50,-24,-51,-23,-52,-21,-53,-20,-54,-19,-55,-18]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-47,11,1,7,0,1,1,1,0,0,0,-95,1,11,0,10066305,0,86,1,256,1,"[86,-32,4,0,-16,1,-15,1,-14,2,-14,2,-14,3,-13,3,-13,3,-12,3,-12,3,-12,4,-12,4,-12,5,-12,5,-11,5,-11,5,-11,5,-11,5,-11,4,-11,4,-10,4,-10,3,-10,3,-10,2,-10,2,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-13,3,-13,2,-14,2,-14,1,-14,1,-15,0,-15,0,-15,-1,-16,-1,-16,-2,-16,-2,-16,-3,-16,-3,-16,-2,-15,-2,-15,-2,-15,-2,-15,-1,-15,-1,-15,0,-15,0,-15,0,-15,0,-16,1,-16,1,-16,1,-19,0,-59,3,-58,2,-57,2,-55,3,-53,4,-52,5,-50,6,-49,7,-48,9,-46,11,-46,13,-45,15,-45,15,-45,16,-44,16,-43,16,-43,16,-42,15,-42,14,-41,12,-40,11,-39,10,-38,8,-37,8,-36,6,-35,5,-35,-1,-34,-3,-6,-1,-2,-1,0,-1,1,-1,0,-1,-3,1,-8,2,-44,14,-45,12,-48,10,-49,7,-51,3,-53,1,-55,-1,-56,-3,-57,-6,-57,-8,-58,-9,-58,-10,-58,-10,-59,-11,-59,-11,-58,-12,-58,-12,-57,-11,-57,-11,-56,-9,-56,-8,-57,-7,-57,-5,-57,-4,-57,-2,-58,0,-59,1,-60,2]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-47,11,1,7,0,1,1,1,0,0,0,-95,1,11,0,10116152,0,86,1,256,1,"[86,-32,4,0,-12,10,-11,10,-10,10,-10,9,-10,10,-9,9,-9,9,-8,9,-8,9,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,10,-7,9,-7,9,-7,9,-7,8,-7,8,-7,7,-7,7,-7,7,-7,6,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-8,10,-8,10,-9,10,-10,9,-11,9,-11,9,-12,9,-12,8,-13,8,-13,8,-14,8,-14,8,-14,8,-13,7,-13,7,-13,7,-13,7,-12,7,-12,8,-12,8,-12,9,-12,9,-12,9,-12,9,-12,10,-12,10,-16,9,-49,33,-48,32,-46,32,-44,31,-42,31,-41,31,-39,30,-37,31,-35,32,-33,33,-31,34,-30,35,-30,36,-30,36,-30,36,-29,35,-29,35,-29,34,-29,32,-29,31,-29,29,-28,27,-28,26,-27,25,-27,23,-27,21,-31,16,-31,14,-6,2,-2,0,0,-1,0,-2,0,-1,-2,1,-5,6,-28,36,-31,34,-32,35,-35,33,-39,32,-42,31,-44,30,-46,29,-48,27,-50,26,-51,25,-52,25,-53,25,-54,25,-54,24,-54,23,-53,22,-53,22,-52,22,-51,23,-50,23,-50,25,-49,26,-49,28,-48,29,-47,32,-48,33,-48,35]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-95,1,11,0,10168118,0,86,1,256,1,"[86,-32,4,0,-9,-10,-9,-10,-8,-10,-8,-9,-8,-9,-8,-8,-8,-8,-8,-7,-9,-7,-9,-7,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-8,-6,-8,-6,-7,-6,-7,-6,-7,-6,-7,-6,-6,-6,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-8,-8,-8,-8,-8,-9,-8,-9,-7,-10,-7,-10,-7,-11,-7,-11,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-11,-6,-11,-6,-11,-7,-11,-7,-11,-7,-11,-7,-11,-8,-11,-8,-11,-8,-11,-10,-13,-31,-39,-31,-39,-30,-38,-29,-36,-29,-35,-30,-33,-30,-32,-31,-30,-31,-29,-32,-27,-33,-25,-33,-25,-34,-24,-34,-24,-34,-23,-33,-23,-32,-23,-31,-23,-31,-23,-29,-23,-28,-23,-27,-22,-26,-22,-25,-22,-24,-22,-22,-23,-19,-23,-17,-24,-3,-5,-1,-2,0,0,1,0,0,0,-2,-1,-7,-4,-34,-20,-32,-22,-30,-28,-29,-31,-28,-33,-27,-36,-27,-38,-26,-40,-25,-42,-24,-43,-22,-44,-22,-44,-22,-45,-22,-46,-21,-46,-21,-45,-21,-45,-21,-45,-21,-43,-22,-42,-22,-42,-24,-42,-25,-42,-26,-41,-27,-40,-29,-40,-30,-40,-31,-39]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-43,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,10224871,0,86,1,256,1,"[86,-32,4,0,-26,4,-26,5,-24,5,-23,6,-23,6,-22,7,-21,7,-20,8,-20,8,-20,9,-19,9,-19,10,-19,10,-18,10,-18,10,-18,10,-18,10,-18,9,-17,8,-17,8,-17,7,-16,7,-16,6,-16,6,-15,5,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-21,6,-22,5,-23,4,-24,4,-24,2,-25,2,-26,1,-26,0,-26,-1,-27,-1,-27,-2,-27,-2,-27,-2,-27,-2,-26,-2,-26,-2,-26,-1,-26,0,-26,0,-26,1,-26,2,-26,2,-26,3,-26,3,-27,4,-27,4,-16,-1,-50,0,-50,0,-48,1,-47,1,-45,2,-44,3,-43,4,-41,6,-40,7,-39,9,-39,10,-39,12,-39,12,-39,13,-38,13,-38,13,-37,13,-36,13,-36,12,-35,10,-34,9,-33,8,-32,7,-31,6,-30,5,-30,4,-30,-4,-29,-5,-6,-2,-2,-1,0,-1,1,-1,0,-1,-3,0,-7,1,-40,6,-40,4,-41,6,-42,3,-43,1,-45,-2,-46,-4,-47,-6,-48,-7,-48,-9,-49,-10,-49,-11,-49,-11,-50,-12,-49,-12,-49,-12,-49,-12,-49,-11,-48,-10,-48,-9,-47,-8,-48,-7,-48,-6,-48,-5,-48,-3,-49,-2,-50,-1,-51,0]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-45,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,10266184,0,86,1,256,1,"[86,-32,4,0,-15,4,-14,4,-14,4,-13,5,-13,5,-12,5,-12,5,-12,5,-11,5,-11,6,-11,6,-11,6,-11,6,-10,6,-10,7,-10,6,-10,6,-10,6,-10,6,-10,5,-10,5,-10,4,-9,4,-9,3,-9,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-11,5,-12,5,-13,4,-13,4,-14,4,-14,3,-15,3,-15,2,-15,2,-16,1,-16,1,-16,1,-16,0,-15,1,-15,1,-15,1,-15,1,-15,1,-15,2,-15,2,-15,3,-15,3,-15,3,-15,3,-15,4,-15,4,-17,8,-53,25,-53,24,-51,24,-49,24,-47,24,-45,24,-43,24,-41,25,-40,26,-38,27,-37,28,-36,29,-36,30,-35,30,-34,31,-34,30,-34,30,-33,29,-33,28,-33,26,-34,25,-33,23,-32,21,-32,20,-32,18,-31,16,-30,18,-30,16,-6,2,-2,0,0,-1,0,-2,0,-1,-2,2,-5,6,-25,37,-28,35,-38,27,-40,25,-43,24,-46,22,-48,21,-50,20,-53,19,-54,17,-56,16,-56,15,-56,14,-57,13,-57,12,-57,12,-57,12,-56,13,-55,13,-54,14,-53,15,-53,16,-53,17,-53,19,-53,20,-53,22,-54,23,-54,24]"
