type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,31921685,0,37,0,128,1,"[37,80,2,0,7,22,8,22,9,21,9,21,8,20,8,19,9,18,10,18,10,18,11,18,12,18,12,18,12,18,12,19,12,20,12,21,11,20,10,19,9,18,9,18,8,18,7,18,6,18,6,18,5,18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,3,17,2,18,2,19,1,18,0,18,0,19,-1,19,-1,19,-1,20,-1,21,-2,21,-2,21,-2,20,-1,20,-1,20,0,20,1,19,2,19,2,19,2,20,3,20,4,19,4,21,5,23,5,23]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,31923743,0,37,0,128,1,"[37,80,2,0,-13,-21,-13,-21,-14,-19,-13,-19,-13,-19,-13,-18,-13,-17,-14,-17,-15,-17,-15,-16,-16,-15,-17,-15,-17,-16,-17,-17,-17,-18,-17,-18,-16,-18,-15,-18,-14,-18,-13,-18,-12,-17,-11,-17,-11,-17,-10,-17,-10,-17,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-8,-15,-8,-16,-7,-18,-7,-18,-6,-18,-6,-19,-5,-19,-4,-19,-4,-20,-4,-20,-5,-21,-5,-22,-4,-21,-4,-21,-4,-21,-5,-21,-6,-20,-7,-19,-7,-19,-7,-19,-7,-19,-8,-19,-9,-19,-10,-20,-11,-21,-10,-22]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-39,11,1,7,0,1,1,0,0,0,0,-97,0,11,0,31924037,0,86,1,256,1,"[86,-32,4,0,20,6,20,6,20,5,20,4,20,4,20,3,19,3,19,2,20,2,20,2,20,2,19,1,20,1,20,0,21,1,21,2,21,2,20,2,19,3,19,3,18,4,17,5,17,6,16,6,15,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,4,15,5,15,6,15,7,15,7,16,8,16,9,15,9,15,10,15,11,15,13,15,13,15,12,15,11,15,11,15,10,16,10,16,9,17,9,17,9,18,8,18,7,18,8,19,8,20,8,21,8,12,1,41,4,40,4,40,4,39,3,39,2,39,1,38,0,38,-1,37,-2,37,-3,38,-4,38,-6,38,-6,38,-6,38,-6,38,-5,39,-4,38,-3,38,-2,37,-1,37,0,35,1,34,2,33,3,32,5,31,6,31,4,31,6,5,1,1,0,-1,-1,-1,0,-1,0,1,-1,5,-2,29,-9,29,-7,30,2,31,4,31,6,31,8,32,9,32,11,32,13,33,14,33,14,33,15,33,16,33,15,33,15,33,15,32,15,32,14,32,14,33,12,34,11,35,11,36,10,36,8,37,7,37,7,39,7,40,6]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-43,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,32016423,0,86,1,256,1,"[86,-32,4,0,11,22,12,22,12,21,12,21,13,20,13,19,14,19,14,18,14,18,15,18,15,17,15,18,16,18,16,18,16,18,16,19,15,19,15,19,14,19,13,19,11,18,10,18,9,19,8,19,7,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,15,8,16,8,17,7,18,7,19,6,20,6,20,5,21,4,21,4,21,4,22,3,22,3,22,3,22,4,22,4,21,5,21,5,20,6,21,7,21,8,21,9,20,9,20,9,21,10,22,11,23,4,13,17,45,16,44,17,44,17,43,17,42,18,41,19,40,20,39,21,38,22,37,24,37,25,37,25,37,26,37,26,38,26,38,25,39,24,39,22,40,20,39,18,39,16,38,15,38,13,37,11,37,9,37,1,38,-2,38,-1,6,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,5,13,31,12,32,13,32,11,34,9,35,8,37,7,38,6,39,4,40,3,41,2,41,1,41,1,42,1,43,1,42,1,42,2,42,3,41,3,41,4,41,6,41,7,41,9,41,10,41,12,41,13,42,15,44,15,45]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-37,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,32119233,0,86,1,256,1,"[86,-32,4,0,-1,13,-1,13,0,13,0,13,0,13,0,12,0,12,1,12,2,12,2,12,2,12,2,12,2,12,2,12,2,13,2,13,2,12,1,12,1,12,0,12,0,11,-1,11,-1,11,-1,10,-2,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,10,-1,10,-2,10,-2,10,-3,10,-3,10,-4,11,-4,11,-4,11,-5,11,-5,11,-5,11,-5,11,-5,11,-5,11,-4,11,-4,11,-4,11,-3,11,-3,11,-3,12,-3,12,-2,12,-2,12,-2,13,-1,13,-1,15,-2,52,-2,51,-1,50,0,49,0,49,1,48,2,48,4,47,6,46,7,46,9,46,10,46,10,47,10,48,10,48,10,48,9,49,8,48,6,48,4,47,3,46,1,44,0,43,-1,42,-3,40,-6,39,-10,39,-12,38,-3,6,-2,1,-1,-1,-1,-2,-1,-1,0,1,1,6,8,35,6,36,0,37,-2,38,-5,39,-7,40,-9,41,-10,41,-12,42,-14,42,-15,42,-16,42,-16,43,-16,43,-16,43,-16,44,-16,43,-15,43,-13,43,-12,43,-11,44,-9,45,-8,45,-8,46,-6,47,-4,48,-3,50,-2,50]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,32221726,0,86,1,256,1,"[86,-32,4,0,-25,-5,-25,-5,-24,-4,-24,-4,-24,-3,-24,-3,-24,-2,-24,-1,-24,-1,-24,0,-24,0,-24,1,-24,1,-25,1,-25,0,-25,0,-25,-1,-24,-1,-24,-2,-23,-3,-22,-4,-21,-4,-21,-5,-20,-6,-20,-6,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-19,-3,-19,-4,-19,-6,-20,-6,-20,-7,-20,-8,-20,-9,-20,-10,-20,-10,-20,-11,-21,-11,-20,-11,-20,-11,-20,-11,-20,-11,-20,-10,-20,-10,-20,-9,-21,-9,-21,-8,-22,-7,-22,-7,-22,-6,-23,-6,-25,-6,-25,-6,-15,-6,-46,-16,-46,-16,-45,-16,-45,-15,-44,-14,-44,-13,-44,-12,-44,-11,-44,-9,-44,-7,-45,-6,-45,-5,-46,-5,-47,-5,-46,-5,-46,-6,-46,-7,-45,-8,-45,-9,-43,-10,-42,-11,-40,-12,-39,-13,-38,-14,-36,-16,-34,-17,-30,-24,-28,-26,-5,-5,-2,-2,0,0,0,0,0,0,-2,-1,-6,-2,-33,-8,-32,-11,-34,-10,-34,-13,-34,-16,-34,-18,-34,-20,-34,-21,-35,-23,-34,-24,-34,-25,-34,-25,-35,-26,-35,-26,-35,-26,-35,-26,-35,-26,-35,-25,-35,-24,-35,-23,-36,-22,-37,-21,-38,-20,-40,-19,-41,-18,-43,-17,-44,-16,-45,-16]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,32316738,0,86,1,256,1,"[86,-32,4,0,23,-10,22,-11,22,-11,21,-11,21,-12,20,-12,20,-13,19,-13,18,-13,18,-14,18,-15,18,-15,18,-16,18,-16,19,-16,19,-15,19,-15,19,-14,19,-13,19,-12,19,-11,19,-10,18,-9,18,-8,18,-7,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,17,-7,18,-6,18,-6,19,-5,19,-5,20,-4,21,-3,21,-3,21,-2,22,-2,22,-2,22,-2,22,-2,22,-2,22,-2,22,-3,21,-3,21,-4,21,-5,21,-5,21,-6,21,-7,21,-7,22,-8,23,-9,23,-9,14,-5,45,-15,45,-15,44,-15,43,-15,42,-15,42,-16,41,-17,40,-19,39,-20,38,-22,38,-24,37,-25,38,-25,38,-25,38,-25,39,-24,39,-24,39,-23,40,-21,40,-19,39,-18,38,-16,37,-15,37,-13,36,-11,36,-9,37,-1,36,1,6,0,1,0,-1,-1,-1,0,-1,0,1,-1,5,-3,31,-14,32,-12,33,-11,35,-9,36,-7,37,-5,38,-4,39,-2,40,0,41,1,41,1,41,1,42,1,42,1,42,1,42,1,42,0,42,0,41,-1,41,-2,41,-3,42,-5,42,-6,42,-8,42,-10,43,-12,44,-13,45,-14]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-40,11,1,4,0,1,1,1,0,0,0,-97,1,11,0,32419310,0,86,1,256,1,"[86,-32,4,0,25,5,25,4,24,3,24,3,24,2,24,2,24,1,23,0,23,-1,23,-2,23,-2,24,-3,24,-3,24,-3,25,-2,25,-2,25,-1,24,-1,24,0,23,1,22,2,21,2,21,3,20,4,20,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,3,18,4,19,5,19,6,19,7,19,8,19,9,19,10,19,11,19,11,20,11,20,12,20,12,19,11,20,11,20,10,20,9,20,9,20,8,21,8,21,7,22,7,22,6,23,6,24,5,25,5,13,5,44,17,44,18,44,17,43,16,43,15,43,14,43,12,42,11,42,9,43,7,44,6,44,4,45,4,46,4,46,5,46,5,45,6,44,7,43,8,42,10,41,11,40,12,38,12,37,13,35,14,34,16,28,25,26,27,4,5,1,1,-1,-1,-2,-1,-1,-1,1,0,5,1,33,11,32,14,33,13,33,15,33,18,33,20,32,21,32,23,32,25,31,26,31,27,31,28,32,28,33,28,32,28,32,28,32,27,32,27,33,25,33,24,34,23,35,22,36,21,38,21,39,19,41,18,43,18,45,17]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,32516127,0,86,1,256,1,"[86,-32,4,0,-8,24,-8,24,-7,23,-6,23,-6,23,-5,23,-4,23,-3,23,-3,23,-2,23,-2,23,-1,24,-1,24,-1,24,-2,24,-2,24,-2,24,-3,24,-3,23,-4,23,-5,22,-6,21,-6,20,-7,19,-7,19,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-7,17,-8,17,-9,17,-10,17,-10,17,-11,17,-12,17,-13,18,-14,18,-14,18,-14,18,-14,18,-14,18,-14,18,-14,18,-13,18,-13,18,-12,18,-11,19,-11,20,-10,20,-10,21,-9,21,-9,22,-9,23,-8,24,-8,12,-24,41,-24,40,-24,40,-23,40,-21,39,-20,39,-19,39,-17,40,-16,40,-15,41,-13,42,-12,42,-12,43,-12,44,-12,44,-13,44,-14,43,-14,42,-15,42,-16,40,-17,39,-18,37,-18,36,-19,34,-20,32,-21,30,-30,24,-32,22,-6,3,-2,0,0,-1,0,-1,0,-1,-1,1,-4,5,-21,28,-22,26,-19,28,-21,28,-23,27,-25,27,-27,27,-29,27,-30,26,-31,26,-32,26,-33,26,-33,26,-33,26,-33,26,-33,26,-32,26,-32,27,-31,27,-30,28,-29,29,-28,31,-27,32,-26,33,-25,35,-25,37,-25,38,-25,40]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,32616029,0,86,1,256,1,"[86,-32,4,0,-19,18,-18,18,-17,18,-17,18,-16,18,-16,18,-15,18,-14,18,-13,18,-13,19,-13,20,-13,21,-13,21,-13,21,-13,21,-14,21,-14,20,-15,19,-15,18,-15,17,-16,16,-15,15,-16,15,-16,14,-16,13,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-13,13,-14,13,-15,13,-16,13,-17,12,-18,12,-19,11,-19,11,-19,10,-20,10,-20,11,-21,11,-20,11,-20,11,-20,11,-20,11,-19,11,-19,12,-19,12,-18,13,-18,14,-18,14,-17,15,-18,16,-19,17,-19,18,-12,9,-38,32,-37,32,-37,32,-36,31,-35,31,-34,32,-32,32,-31,33,-30,34,-29,34,-28,36,-27,37,-28,38,-28,38,-28,38,-28,38,-29,38,-29,37,-30,35,-31,33,-32,31,-31,29,-32,27,-32,26,-32,24,-33,22,-35,17,-35,14,-7,2,-2,0,0,-1,0,-1,0,-1,-2,1,-4,4,-23,25,-25,24,-27,23,-29,22,-31,21,-33,21,-34,20,-36,19,-38,18,-38,17,-39,16,-39,16,-40,17,-40,16,-40,16,-40,16,-40,17,-40,18,-39,18,-38,19,-38,20,-38,21,-37,23,-37,24,-36,26,-36,28,-37,30,-38,30]"
