type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
CSI_DATA,0,5c:01:3b:6b:b0:95,-32,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,24713422,0,37,0,128,1,"[37,80,2,0,12,-7,12,-8,11,-8,11,-8,10,-8,10,-8,9,-8,9,-8,9,-8,9,-8,9,-9,8,-9,9,-9,9,-9,10,-9,10,-9,9,-8,9,-8,9,-7,9,-7,9,-6,9,-6,9,-6,8,-5,8,-5,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,9,-5,9,-5,10,-5,11,-5,11,-4,11,-4,11,-3,11,-3,11,-3,12,-3,13,-3,13,-3,13,-3,12,-3,12,-3,12,-3,12,-4,11,-4,11,-4,11,-5,11,-5,11,-5,11,-6,12,-6,13,-6,13,-6]"
CSI_DATA,1,5c:01:3b:6b:b0:95,-32,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,24715677,0,37,0,128,1,"[37,80,2,0,9,-12,9,-12,8,-12,7,-11,7,-11,7,-11,7,-11,6,-11,6,-11,6,-11,6,-11,5,-11,5,-11,6,-12,6,-12,6,-12,6,-11,6,-10,6,-10,6,-10,6,-9,6,-9,7,-8,6,-8,6,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,7,-8,7,-8,8,-9,8,-9,9,-8,9,-8,9,-7,9,-7,10,-7,10,-7,11,-7,11,-7,11,-7,11,-7,10,-7,10,-8,10,-8,9,-8,9,-8,9,-8,9,-9,9,-9,9,-9,10,-10,10,-10,10,-10]"
CSI_DATA,2,5c:01:3b:6b:b0:95,-37,11,1,5,0,1,1,0,0,0,0,-97,0,11,0,24717182,0,86,1,256,1,"[86,-32,4,0,-9,-11,-9,-10,-9,-10,-9,-10,-9,-9,-9,-9,-9,-9,-9,-8,-9,-8,-10,-8,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-9,-7,-9,-8,-8,-8,-8,-8,-7,-7,-7,-8,-6,-8,-6,-8,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-7,-8,-7,-8,-6,-9,-6,-10,-6,-10,-6,-10,-6,-11,-5,-11,-5,-11,-5,-11,-5,-12,-5,-12,-5,-12,-5,-12,-5,-12,-5,-11,-6,-11,-6,-11,-6,-11,-6,-11,-7,-11,-7,-11,-7,-11,-8,-11,-8,-11,-8,-11,-8,-14,-27,-43,-27,-43,-27,-42,-26,-40,-26,-39,-26,-38,-26,-37,-27,-36,-28,-34,-29,-33,-32,-32,-33,-31,-33,-31,-33,-31,-32,-31,-32,-31,-31,-31,-30,-31,-28,-32,-27,-33,-25,-32,-24,-31,-23,-31,-22,-30,-20,-30,-18,-29,-11,-32,-9,-32,-2,-6,-1,-2,0,0,0,0,0,0,-2,-2,-5,-5,-23,-28,-21,-30,-22,-31,-21,-33,-19,-36,-18,-37,-17,-39,-15,-40,-14,-42,-13,-43,-12,-43,-13,-43,-14,-44,-15,-44,-15,-45,-14,-45,-13,-45,-13,-45,-14,-44,-15,-43,-16,-43,-16,-43,-18,-43,-20,-42,-22,-41,-24,-41,-25,-42,-26,-43]"
CSI_DATA,3,5c:01:3b:6b:b0:95,-39,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,24809148,0,86,1,256,1,"[86,-32,4,0,-7,-12,-7,-12,-7,-11,-7,-11,-7,-11,-7,-10,-7,-10,-8,-10,-8,-10,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-7,-9,-7,-9,-6,-9,-6,-9,-5,-9,-5,-9,-4,-9,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-6,-9,-5,-9,-5,-10,-5,-10,-4,-11,-4,-11,-4,-11,-4,-12,-4,-12,-3,-12,-3,-13,-3,-13,-3,-12,-3,-12,-3,-12,-4,-12,-4,-12,-4,-12,-4,-12,-5,-11,-5,-11,-5,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-15,-19,-46,-19,-46,-19,-45,-18,-44,-18,-43,-18,-42,-19,-41,-20,-41,-21,-40,-22,-38,-24,-37,-25,-36,-25,-36,-26,-36,-25,-36,-25,-36,-24,-36,-23,-36,-22,-37,-20,-37,-19,-37,-17,-36,-15,-35,-14,-34,-12,-33,-10,-32,-2,-33,-1,-32,-1,-6,0,-2,-1,0,0,0,0,0,-1,-2,-3,-6,-16,-32,-14,-33,-16,-34,-14,-36,-13,-38,-12,-40,-10,-41,-9,-42,-7,-44,-6,-44,-5,-45,-5,-46,-5,-47,-5,-47,-5,-46,-5,-46,-5,-45,-6,-45,-7,-45,-8,-44,-8,-44,-10,-44,-11,-45,-12,-45,-14,-45,-16,-46,-16,-46,-17,-46]"
CSI_DATA,4,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,24913027,0,86,1,256,1,"[86,-32,4,0,-7,-27,-7,-26,-7,-25,-7,-25,-8,-24,-8,-24,-8,-23,-9,-22,-10,-22,-10,-22,-11,-22,-11,-22,-11,-21,-11,-22,-11,-22,-11,-22,-10,-22,-9,-22,-8,-21,-8,-21,-7,-21,-5,-20,-5,-20,-4,-19,-3,-19,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-7,-19,-6,-20,-5,-21,-5,-22,-4,-23,-3,-24,-3,-24,-2,-24,-1,-25,-1,-25,0,-26,0,-26,0,-26,0,-25,-1,-25,-1,-25,-2,-25,-2,-24,-3,-25,-3,-25,-4,-25,-4,-25,-5,-25,-6,-26,-6,-26,-7,-27,-1,-16,-5,-52,-5,-51,-5,-50,-5,-49,-6,-48,-7,-47,-8,-46,-9,-45,-10,-44,-12,-43,-14,-43,-15,-43,-16,-44,-15,-44,-15,-43,-14,-43,-13,-43,-12,-43,-11,-43,-9,-42,-7,-41,-7,-39,-5,-39,-4,-38,-3,-37,-1,-36,7,-35,9,-34,1,-6,0,-2,-1,0,0,1,-1,0,-1,-2,-2,-7,-6,-38,-4,-38,-6,-39,-4,-40,-2,-41,0,-42,2,-43,3,-44,5,-45,6,-45,7,-46,7,-46,7,-46,7,-47,7,-47,8,-47,7,-47,7,-47,6,-46,5,-46,4,-46,3,-47,2,-47,0,-48,-2,-48,-3,-49,-4,-50,-5,-51]"
CSI_DATA,5,5c:01:3b:6b:b0:95,-39,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,25008560,0,86,1,256,1,"[86,-32,4,0,0,22,0,22,0,21,1,21,1,20,2,20,2,19,3,19,3,19,3,19,4,18,4,18,4,19,4,19,4,19,4,19,4,18,3,18,3,17,2,17,0,17,-1,16,-1,16,-1,15,-1,15,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,1,17,0,18,-1,19,-2,19,-2,19,-2,20,-3,20,-4,20,-5,20,-5,21,-5,21,-6,21,-6,20,-5,20,-5,20,-4,20,-4,20,-3,20,-3,20,-2,20,-1,21,-1,21,-1,22,-1,23,0,23,-2,13,-4,43,-4,42,-4,42,-3,41,-2,40,-1,39,0,38,0,37,1,36,3,36,4,36,5,36,5,36,5,36,5,36,4,36,4,36,3,35,2,35,1,34,-1,33,-2,32,-3,30,-4,30,-4,29,-6,28,-11,26,-12,25,-3,4,-1,1,0,-1,-1,-1,0,-1,0,1,0,5,3,31,1,31,1,33,-1,33,-3,34,-5,35,-6,36,-8,37,-10,37,-11,38,-12,38,-12,38,-13,38,-13,38,-13,38,-13,38,-13,38,-13,37,-12,37,-11,37,-10,38,-9,38,-8,39,-7,39,-6,40,-5,41,-5,43,-4,44]"
CSI_DATA,6,5c:01:3b:6b:b0:95,-39,11,1,7,0,1,1,1,0,0,0,-97,1,11,0,25108568,0,86,1,256,1,"[86,-32,4,0,-12,-4,-12,-4,-12,-4,-12,-4,-12,-4,-12,-3,-11,-3,-11,-3,-11,-2,-12,-2,-11,-2,-11,-1,-11,-1,-11,-1,-11,-1,-12,-2,-11,-2,-11,-2,-11,-3,-10,-3,-10,-3,-10,-3,-9,-3,-9,-4,-9,-4,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-9,-3,-10,-4,-10,-4,-10,-5,-10,-5,-10,-6,-10,-6,-10,-6,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-6,-11,-6,-11,-6,-11,-6,-11,-5,-11,-5,-12,-5,-12,-5,-12,-5,-15,-7,-46,-19,-45,-19,-44,-19,-43,-18,-43,-17,-42,-16,-41,-15,-41,-14,-41,-12,-41,-11,-42,-9,-43,-8,-43,-7,-43,-7,-42,-7,-42,-7,-42,-8,-41,-9,-40,-10,-39,-11,-37,-13,-36,-13,-35,-13,-33,-13,-32,-14,-30,-15,-27,-18,-25,-20,-5,-4,-2,-2,0,0,1,0,0,0,-2,-1,-7,-2,-35,-8,-34,-10,-35,-13,-35,-15,-36,-18,-36,-19,-36,-21,-36,-23,-36,-25,-35,-26,-35,-27,-35,-27,-36,-27,-36,-28,-37,-28,-36,-28,-36,-28,-37,-27,-37,-26,-37,-25,-38,-24,-38,-23,-39,-23,-40,-22,-41,-21,-43,-20,-44,-20,-45,-20]"
CSI_DATA,7,5c:01:3b:6b:b0:95,-41,11,1,5,0,1,1,1,0,0,0,-97,1,11,0,25212401,0,86,1,256,1,"[86,-32,4,0,21,-18,20,-17,19,-17,18,-17,18,-17,17,-18,17,-17,16,-18,15,-18,15,-19,14,-19,14,-19,14,-20,14,-19,15,-19,15,-19,15,-18,15,-17,15,-16,15,-15,16,-14,15,-13,15,-13,15,-11,15,-11,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,14,-15,15,-15,16,-15,17,-14,18,-14,19,-13,20,-13,21,-12,21,-12,22,-12,22,-12,23,-12,22,-12,22,-12,22,-12,22,-12,21,-12,20,-12,21,-13,21,-14,20,-15,20,-15,20,-16,20,-17,21,-18,21,-18,14,-7,45,-23,45,-23,43,-23,42,-23,41,-23,40,-23,38,-24,37,-24,35,-25,34,-27,33,-29,33,-30,33,-31,34,-30,34,-30,34,-29,34,-28,34,-27,35,-26,34,-24,34,-22,33,-20,32,-19,32,-18,31,-15,31,-13,34,-4,34,-3,5,-1,1,-1,-1,0,-2,0,-1,0,1,-2,5,-4,32,-19,33,-18,31,-22,33,-20,35,-18,37,-17,39,-16,41,-14,42,-13,43,-12,43,-11,43,-11,44,-12,45,-13,45,-12,46,-12,45,-11,45,-12,44,-12,43,-13,43,-14,43,-15,43,-16,43,-18,42,-20,43,-22,44,-24,45,-24]"
CSI_DATA,8,5c:01:3b:6b:b0:95,-38,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,25308485,0,86,1,256,1,"[86,-32,4,0,2,-22,1,-22,1,-22,0,-21,0,-21,0,-21,-1,-20,-2,-20,-2,-20,-3,-20,-3,-20,-3,-20,-3,-20,-3,-19,-3,-20,-3,-20,-3,-19,-2,-19,-2,-19,-1,-18,0,-17,0,-17,1,-16,1,-16,2,-15,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-17,1,-18,2,-19,2,-19,3,-19,4,-20,5,-20,6,-20,6,-20,7,-20,7,-20,7,-20,7,-20,7,-20,7,-20,6,-20,5,-19,5,-19,5,-20,4,-20,4,-21,3,-21,3,-21,3,-22,3,-23,2,-23,2,-14,7,-43,7,-42,7,-41,6,-40,5,-40,4,-39,3,-39,2,-38,1,-38,0,-37,-1,-37,-2,-37,-3,-38,-3,-37,-3,-37,-2,-37,-2,-37,-1,-36,0,-36,1,-35,2,-34,3,-33,4,-31,4,-30,5,-29,6,-28,10,-26,12,-25,2,-5,0,-2,-1,0,-1,1,-1,0,0,-2,0,-6,3,-33,4,-33,4,-33,6,-33,8,-34,9,-35,11,-35,13,-36,15,-36,16,-36,17,-36,17,-36,17,-36,17,-36,17,-36,17,-36,17,-36,16,-36,15,-35,14,-36,14,-37,13,-37,12,-38,11,-39,10,-39,9,-40,8,-41,8,-42]"
CSI_DATA,9,5c:01:3b:6b:b0:95,-42,11,1,6,0,1,1,1,0,0,0,-97,1,11,0,25408361,0,86,1,256,1,"[86,-32,4,0,0,27,0,26,1,25,1,25,2,25,3,24,3,23,4,23,4,22,5,22,5,22,6,22,6,23,6,23,6,23,5,22,5,22,4,22,3,22,3,21,2,20,1,20,0,19,-1,19,-1,18,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,1,20,0,21,-1,22,-2,23,-3,23,-4,23,-4,23,-5,23,-6,24,-6,24,-6,24,-6,25,-6,24,-6,24,-6,24,-5,24,-4,23,-4,24,-3,24,-2,25,-1,25,-1,25,-1,26,-1,27,0,27,-2,15,-3,51,-4,51,-3,50,-3,49,-2,48,0,47,1,46,1,45,3,44,4,44,6,44,7,44,8,44,8,44,8,44,7,44,7,44,5,44,4,43,2,42,1,41,0,39,-1,38,-2,37,-4,36,-6,34,-11,33,-12,32,-3,5,-1,1,0,-1,-1,-2,0,-1,0,2,0,6,3,38,1,38,0,39,-2,40,-4,41,-6,42,-8,43,-10,44,-12,45,-13,45,-14,45,-15,45,-16,45,-16,45,-16,45,-16,45,-15,45,-15,45,-14,45,-13,45,-11,46,-10,46,-8,47,-7,47,-6,48,-5,49,-5,51,-5,51]"
